TmStamp,PV Energy,Battery Energy,SoC,Battery Voltage,Required Energy,Excess Energy,Grid Energy,Charging,Discharging
2021-05-01 00:00:00,0.0,2560.0,50.0,52.614719167003486,121.24,0.0,0.0,0.0,0.0
2021-05-01 00:30:00,0.0,3858.986161503624,75.37082346686765,52.97781918677717,99.705,0.0,1398.6911615036238,1298.9861615036239,0.0
2021-05-01 01:00:00,0.0,5120.0,100.0,55.481705101094896,104.205,0.0,1365.2188384963758,1261.013838496376,0.0
2021-05-01 01:30:00,0.0,5120.0,100.0,55.481705101094896,99.305,0.0,99.305,0.0,0.0
2021-05-01 02:00:00,0.0,5120.0,100.0,55.481705101094896,117.405,0.0,117.405,0.0,0.0
2021-05-01 02:30:00,0.0,5120.0,100.0,55.481705101094896,87.685,0.0,87.685,0.0,0.0
2021-05-01 03:00:00,0.0,5120.0,100.0,55.481705101094896,107.21,0.0,107.21,0.0,0.0
2021-05-01 03:30:00,0.0,5120.0,100.0,55.481705101094896,114.995,0.0,114.995,0.0,0.0
2021-05-01 04:00:00,0.0,5120.0,100.0,55.481705101094896,83.205,0.0,83.205,0.0,0.0
2021-05-01 04:30:00,0.0,5120.0,100.0,55.481705101094896,119.52,0.0,119.52,0.0,0.0
2021-05-01 05:00:00,0.0,5120.0,100.0,55.481705101094896,97.315,0.0,97.315,0.0,0.0
2021-05-01 05:30:00,-0.0,5120.0,100.0,55.481705101094896,103.675,0.0,103.675,0.0,0.0
2021-05-01 06:00:00,-0.0,5120.0,100.0,55.481705101094896,99.605,0.0,99.605,0.0,0.0
2021-05-01 06:30:00,0.0,4096.0,80.0,52.91486482518221,113.69,0.0,-889.8299999999999,0.0,1024.0
2021-05-01 07:00:00,3.7335252013457163,3072.0,60.0,52.914955938786875,78.84147479865429,0.0,-924.6785252013457,0.0,1024.0
2021-05-01 07:30:00,499.2999038643575,2447.6678548257137,47.806012789564726,52.55326247482154,0.0,403.70490386435745,-1003.52,399.66785482571385,1024.0
